date,company,open_price,high_price,low_price,close_price,volume,market_sentiment
2015-02-12,Amazon,1361.57,1529.12,326.13,1202.74,31257520,Bullish
2015-02-13,Apple,247.61,215.64,796.87,60.77,3833642,Bearish
2015-02-14,Amazon,632.27,265.77,1052.35,925.64,46320916,Bullish
2015-02-15,Apple,262.04,1466.71,1180.89,300.27,16894078,Bearish
2015-02-16,Google,661.14,881.48,686.58,1094.03,293724,Bearish
2015-02-17,Apple,196.63,73.42,755.42,1389.26,21714716,Neutral
2015-02-18,Apple,847.38,979.42,1005.05,1381.68,6682672,Bearish
2015-02-19,Netflix,922.06,747.8,1316.64,852.18,5187375,Bearish
2015-02-20,Meta,951.11,1485.37,963.64,502.99,17480042,Bearish
2015-02-21,Tesla,324.32,1294.6,697.5,341.48,45974825,Bullish
2015-02-22,Tesla,1047.11,866.74,1330.33,196.75,23302693,Neutral
2015-02-23,Tesla,127.24,1325.08,255.55,945.45,44960453,Bearish
2015-02-24,Microsoft,648.46,763.37,725.25,1477.76,41280611,Bearish
2015-02-25,Google,1404.12,1534.7,436.77,123.74,41253408,Neutral
2015-02-26,Amazon,1490.86,1336.65,1433.61,824.47,43527153,Bullish
2015-02-27,Apple,947.87,1406.16,513.45,143.18,38531537,Bearish
2015-02-28,Meta,877.42,121.4,58.03,334.27,746740,Bearish
2015-03-01,Tesla,356.59,1067.64,585.95,1269.91,6170302,Bearish
2015-03-02,Apple,277.06,1284.15,186.93,775.97,49156124,Neutral
2015-03-03,Meta,863.95,636.02,645.47,265.14,42566583,Bearish
2015-03-04,Tesla,57.86,687.51,269.0,187.13,6711455,Bearish
2015-03-05,Amazon,494.71,1312.13,300.26,440.46,21526071,Neutral
2015-03-06,Google,1395.95,555.29,201.24,78.18,16580003,Bearish
2015-03-07,Amazon,908.09,303.4,748.03,1386.55,9224062,Bearish
2015-03-08,Amazon,1058.93,1311.9,816.45,762.19,47233601,Neutral
2015-03-09,Amazon,598.08,475.08,1206.51,1320.63,178232,Bearish
2015-03-10,Google,1247.77,1133.32,901.77,590.78,5510111,Neutral
2015-03-11,Amazon,911.37,105.55,1290.26,519.48,48358225,Bullish
2015-03-12,Amazon,827.4,971.95,531.44,1111.19,16134235,Bearish
2015-03-13,Tesla,1298.79,1528.3,548.87,680.67,43510600,Neutral
2015-03-14,Amazon,226.59,1522.79,327.87,1122.89,34513176,Bullish
2015-03-15,Google,1062.49,652.26,664.92,929.88,2841381,Bearish
2015-03-16,Amazon,923.9,759.02,433.91,1448.69,4648538,Bearish
2015-03-17,Netflix,297.07,562.06,68.77,256.87,21791628,Bearish
2015-03-18,Google,330.39,900.0,452.99,143.96,8168965,Bullish
2015-03-19,Meta,1355.01,955.34,196.89,620.59,36707952,Bullish
2015-03-20,Google,599.09,1020.89,890.0,630.23,37290334,Bullish
2015-03-21,Meta,245.83,1517.73,770.13,810.42,36953544,Bullish
2015-03-22,Google,988.14,1423.74,95.26,396.94,30349763,Bullish
2015-03-23,Microsoft,1354.18,1393.04,548.1,1336.29,44127284,Bearish
2015-03-24,Amazon,1106.39,413.11,448.49,283.58,19713090,Bullish
2015-03-25,Microsoft,1031.22,891.93,1236.58,813.44,11485844,Bullish
2015-03-26,Microsoft,840.4,385.85,451.88,272.14,39138517,Bearish
2015-03-27,Meta,979.17,913.34,1043.7,680.61,28934868,Bullish
2015-03-28,Amazon,770.75,243.76,1206.87,550.0,42651335,Bearish
2015-03-29,Amazon,1498.06,862.51,508.69,620.27,21990941,Neutral
2015-03-30,Microsoft,810.72,1174.5,1254.3,611.3,27083339,Neutral
2015-03-31,Apple,819.42,1197.66,1239.67,71.56,9477997,Bearish
2015-04-01,Tesla,1427.15,173.39,104.88,207.8,23465538,Bullish
2015-04-02,Meta,978.1,791.68,1256.34,1189.51,38428208,Bearish
2015-04-03,Amazon,572.71,555.22,74.92,917.8,40929115,Bullish
2015-04-04,Google,600.61,155.51,1411.63,1331.44,22917320,Neutral
2015-04-05,Google,613.5,671.87,485.74,914.02,18822717,Bearish
2015-04-06,Tesla,1037.95,1451.25,1107.27,1291.48,47714998,Bearish
2015-04-07,Amazon,1109.32,162.39,726.31,567.79,47336444,Bullish
2015-04-08,Netflix,351.16,386.39,1352.05,334.34,41286291,Bearish
2015-04-09,Netflix,517.47,964.34,181.97,1405.98,24802377,Neutral
2015-04-10,Tesla,972.84,827.45,1154.96,601.44,39574314,Bullish
2015-04-11,Tesla,893.33,504.91,631.24,568.36,2237977,Neutral
2015-04-12,Meta,66.24,926.31,157.2,1462.04,28557038,Neutral
2015-04-13,Tesla,772.59,1198.87,512.92,1288.1,31799041,Bearish
2015-04-14,Amazon,1399.79,854.97,86.94,1244.22,35517734,Neutral
2015-04-15,Amazon,713.59,788.96,1072.0,1246.22,47859728,Bullish
2015-04-16,Apple,1347.48,768.78,537.88,1232.07,18175278,Bullish
2015-04-17,Tesla,1026.97,223.65,811.2,701.68,25452300,Bullish
2015-04-18,Amazon,1188.34,379.81,613.56,792.92,21644359,Neutral
2015-04-19,Apple,1260.11,1077.75,259.53,1279.95,36457169,Bearish
2015-04-20,Microsoft,963.45,297.16,731.73,449.95,47703079,Bullish
2015-04-21,Microsoft,685.08,324.08,1055.17,607.49,40546307,Bearish
2015-04-22,Netflix,1112.37,598.2,506.24,874.52,16368153,Bearish
2015-04-23,Amazon,1315.37,1311.32,122.31,422.63,39513683,Bullish
2015-04-24,Meta,1355.04,1184.03,1205.41,244.09,19029955,Bullish
2015-04-25,Microsoft,111.91,696.32,626.65,566.35,43103867,Bearish
2015-04-26,Amazon,1204.96,1349.59,568.71,1063.28,39169442,Bullish
2015-04-27,Meta,1376.27,1323.56,937.61,368.06,35284086,Bearish
2015-04-28,Tesla,799.67,1265.5,1264.9,720.66,39915775,Neutral
2015-04-29,Tesla,388.57,948.21,913.89,618.42,33876755,Bullish
2015-04-30,Meta,1083.21,343.92,141.74,801.56,18405896,Bearish
2015-05-01,Apple,558.96,991.43,487.92,1114.1,30678966,Neutral
2015-05-02,Netflix,1378.77,141.02,578.48,661.34,40555195,Bullish
2015-05-03,Netflix,956.95,1157.27,1035.66,309.61,49382262,Neutral
2015-05-04,Meta,356.25,359.13,569.71,924.86,43181508,Neutral
2015-05-05,Netflix,1338.78,599.11,1267.31,1496.52,2489359,Bearish
2015-05-06,Meta,723.41,1430.85,566.97,621.76,2279762,Bullish
2015-05-07,Tesla,839.29,667.57,597.93,261.67,29571182,Neutral
2015-05-08,Amazon,865.45,878.31,900.64,403.14,30546886,Bearish
2015-05-09,Google,158.22,150.9,1003.74,986.8,3810013,Neutral
2015-05-10,Microsoft,1392.97,389.6,1256.41,434.99,25212516,Bullish
2015-05-11,Meta,425.32,1494.36,176.86,1384.05,42400859,Neutral
2015-05-12,Tesla,1094.46,1231.47,287.35,594.98,40581491,Neutral
2015-05-13,Tesla,1487.59,1298.27,872.82,1263.61,49683383,Neutral
2015-05-14,Google,212.74,168.11,372.93,1434.04,6845352,Neutral
2015-05-15,Google,518.4,1443.75,66.78,697.05,12782334,Bearish
2015-05-16,Meta,629.64,1541.46,568.35,674.3,37294784,Neutral
2015-05-17,Microsoft,866.85,672.62,677.39,440.57,286925,Bearish
2015-05-18,Apple,1173.96,436.69,746.31,692.49,8094903,Neutral
2015-05-19,Tesla,1390.49,346.78,654.18,1134.17,34321390,Neutral
2015-05-20,Netflix,273.09,868.13,474.08,272.86,15032069,Bearish
2015-05-21,Netflix,779.04,1019.88,567.65,1425.02,13641077,Neutral
2015-05-22,Microsoft,1364.75,1231.59,609.38,480.94,47653608,Bearish
2015-05-23,Tesla,88.34,682.37,177.68,218.73,10544377,Neutral
2015-05-24,Netflix,712.71,1452.45,1304.72,1182.21,39444842,Neutral
2015-05-25,Apple,242.25,538.17,1148.29,392.71,27698127,Bearish
2015-05-26,Microsoft,1002.82,572.99,616.36,274.54,9714758,Bearish
2015-05-27,Amazon,523.55,1151.77,335.93,139.44,45713671,Bearish
2015-05-28,Microsoft,282.29,323.54,914.48,297.3,7564251,Neutral
2015-05-29,Netflix,218.46,743.91,142.29,576.87,26930206,Bullish
2015-05-30,Tesla,1300.19,647.49,849.88,238.16,47701816,Bullish
2015-05-31,Google,868.39,844.68,228.37,942.75,3283116,Neutral
2015-06-01,Meta,675.94,1035.63,407.92,796.51,21029615,Bullish
2015-06-02,Netflix,528.73,392.86,240.44,1089.3,39371971,Bearish
2015-06-03,Microsoft,945.08,750.14,131.87,652.54,19505056,Neutral
2015-06-04,Google,1364.97,608.51,606.65,109.68,46079864,Neutral
2015-06-05,Meta,1328.66,872.25,699.37,352.51,3477359,Bearish
2015-06-06,Google,379.5,416.37,338.46,1101.53,40020934,Bearish
2015-06-07,Netflix,899.73,1431.79,1441.08,86.42,13554706,Bearish
2015-06-08,Tesla,384.42,1237.08,1310.13,297.07,49770186,Neutral
2015-06-09,Google,416.09,1208.41,1026.65,229.05,48171361,Bullish
2015-06-10,Apple,1378.53,1141.33,1135.66,1110.04,360135,Bearish
2015-06-11,Tesla,169.18,540.32,215.43,290.64,35379742,Neutral
2015-06-12,Netflix,831.69,203.02,1110.02,226.81,12871737,Neutral
2015-06-13,Meta,1085.11,303.99,1263.69,1154.08,3967763,Neutral
2015-06-14,Google,1043.75,269.3,1279.66,539.8,34823041,Bullish
2015-06-15,Meta,297.19,408.34,907.72,1439.37,30425699,Bearish
2015-06-16,Tesla,299.35,1287.93,447.45,596.96,22172393,Neutral
2015-06-17,Amazon,758.9,1467.72,335.61,694.51,20358927,Bearish
2015-06-18,Tesla,1223.01,1522.13,246.1,853.41,10956597,Bullish
2015-06-19,Google,71.18,62.44,1368.27,1114.27,6701618,Neutral
2015-06-20,Amazon,1371.2,1510.84,1232.91,249.14,41674738,Bearish
2015-06-21,Netflix,568.34,940.77,806.04,1070.5,48228019,Bearish
2015-06-22,Apple,470.42,106.34,1370.42,1259.81,21800841,Bullish
2015-06-23,Google,1126.85,1412.96,82.78,1331.25,16019314,Bearish
2015-06-24,Meta,653.41,1421.11,483.94,967.03,34553702,Bearish
2015-06-25,Meta,330.13,1296.33,772.12,1143.17,14395780,Bearish
2015-06-26,Netflix,1108.76,160.56,940.13,1054.45,26020993,Bullish
2015-06-27,Amazon,445.75,1437.61,438.09,924.53,16904641,Neutral
2015-06-28,Tesla,1045.49,1068.69,157.77,592.66,1689145,Neutral
2015-06-29,Apple,1198.47,1323.79,998.98,1118.36,25738220,Bullish
2015-06-30,Amazon,1412.99,997.57,576.41,1024.79,43650890,Neutral
2015-07-01,Google,963.81,187.43,227.6,689.03,28428261,Bearish
2015-07-02,Tesla,1149.38,1006.53,483.67,1441.96,28031312,Neutral
2015-07-03,Tesla,627.37,689.76,624.06,191.66,12384547,Bullish
2015-07-04,Meta,144.54,735.09,1124.08,974.6,16031880,Bearish
2015-07-05,Tesla,222.33,553.23,1242.89,1072.14,6339971,Bullish
2015-07-06,Meta,959.53,1087.03,305.89,213.67,27030365,Neutral
2015-07-07,Microsoft,1404.02,886.01,1034.85,643.62,44760028,Neutral
2015-07-08,Google,215.79,569.02,1288.94,124.34,10108827,Bullish
2015-07-09,Netflix,462.24,83.75,1301.99,523.81,30752080,Neutral
2015-07-10,Amazon,1140.61,988.15,165.66,745.32,8838177,Bullish
2015-07-11,Amazon,1198.63,438.99,549.12,406.56,20719201,Neutral
2015-07-12,Microsoft,769.65,1483.01,332.98,699.28,10611124,Bearish
2015-07-13,Tesla,175.24,841.36,363.75,131.54,41458973,Neutral
2015-07-14,Apple,959.19,380.92,380.85,787.65,17218674,Bullish
2015-07-15,Meta,546.37,1236.53,354.37,348.75,26714346,Neutral
2015-07-16,Amazon,268.45,1029.01,1419.02,98.39,15182352,Bullish
2015-07-17,Meta,179.59,466.92,555.84,1095.36,49136311,Bullish
2015-07-18,Apple,510.31,1262.85,913.26,1199.55,32079497,Neutral
2015-07-19,Meta,1180.93,1047.29,1414.93,144.76,22773696,Bearish
2015-07-20,Google,645.13,1205.28,287.98,492.3,16222870,Bullish
2015-07-21,Meta,745.67,1184.99,266.62,560.76,29108565,Neutral
2015-07-22,Apple,877.98,734.67,314.99,720.96,25999145,Neutral
2015-07-23,Tesla,599.05,727.91,1432.67,1293.01,21830500,Bullish
2015-07-24,Amazon,353.08,1324.14,1035.7,170.11,17717913,Bullish
2015-07-25,Netflix,651.95,204.6,534.11,480.15,24704177,Bearish
2015-07-26,Meta,897.13,1191.41,911.77,260.08,45653357,Neutral
2015-07-27,Google,240.35,948.77,1049.72,1164.89,47244156,Bullish
2015-07-28,Microsoft,197.07,1237.6,418.51,544.96,20183308,Neutral
2015-07-29,Apple,213.86,1059.79,580.39,417.87,49069170,Neutral
2015-07-30,Microsoft,1467.72,692.82,193.83,922.58,16891767,Bullish
2015-07-31,Apple,606.02,660.42,215.24,1338.2,2635907,Bullish
2015-08-01,Netflix,312.81,1502.22,261.98,344.8,30344808,Bearish
2015-08-02,Microsoft,1220.0,563.57,1378.61,348.26,4556709,Bullish
2015-08-03,Google,725.35,59.99,1217.11,1075.62,29782243,Bearish
2015-08-04,Google,326.45,394.45,1388.43,820.97,11642850,Neutral
2015-08-05,Meta,956.68,526.23,805.88,242.64,24966522,Bullish
2015-08-06,Meta,149.5,646.1,345.45,756.29,34794058,Bullish
2015-08-07,Amazon,457.64,1466.72,87.28,1218.39,22203851,Bearish
2015-08-08,Google,275.11,590.6,505.14,1377.87,41460088,Bullish
2015-08-09,Netflix,543.34,868.61,1092.42,983.62,21223585,Neutral
2015-08-10,Apple,440.0,137.28,769.48,1383.07,36579600,Bearish
2015-08-11,Apple,1351.35,780.44,333.48,820.7,32435955,Neutral
2015-08-12,Google,623.08,1025.18,1304.04,737.87,46978853,Bullish
2015-08-13,Google,273.52,1203.2,834.04,404.41,45504420,Neutral
2015-08-14,Netflix,215.9,839.14,1324.65,143.19,8901719,Neutral
2015-08-15,Google,416.41,273.97,341.18,204.08,45694433,Bearish
2015-08-16,Meta,805.14,613.46,99.94,396.32,24024762,Neutral
2015-08-17,Amazon,111.94,1518.92,1005.61,433.93,37511203,Bullish
2015-08-18,Microsoft,270.37,790.94,1446.06,714.65,5233208,Neutral
2015-08-19,Apple,855.88,1548.3,549.91,385.21,34609612,Bearish
2015-08-20,Meta,841.75,258.02,84.3,1330.17,418087,Neutral
2015-08-21,Microsoft,1087.05,947.36,1346.25,834.09,4380436,Bearish
2015-08-22,Microsoft,810.47,1417.19,168.38,263.51,24390979,Bearish
2015-08-23,Netflix,690.77,437.87,415.0,688.47,23136800,Bearish
2015-08-24,Tesla,1151.67,1469.0,458.93,263.56,49144936,Neutral
2015-08-25,Microsoft,1231.22,705.15,117.0,976.23,48248633,Bearish
2015-08-26,Amazon,282.56,1282.3,57.31,941.99,11558735,Bullish
2015-08-27,Tesla,255.01,455.12,98.08,369.79,15993525,Neutral
2015-08-28,Apple,1460.46,1415.16,305.27,73.34,16293345,Neutral
2015-08-29,Google,377.49,1214.73,288.07,850.04,23973664,Bullish
2015-08-30,Tesla,648.28,309.58,843.39,77.56,34005541,Neutral
2015-08-31,Google,121.96,752.58,549.34,574.15,2813764,Bullish
2015-09-01,Tesla,633.8,895.64,575.37,1405.9,4102176,Bullish
2015-09-02,Netflix,717.79,393.95,1126.61,602.9,48287151,Neutral
2015-09-03,Amazon,543.7,843.74,1127.45,558.87,34412945,Bullish
2015-09-04,Netflix,1359.55,201.26,892.19,693.27,29372841,Bullish
2015-09-05,Microsoft,1082.35,1247.07,1230.92,1170.78,14519271,Neutral
2015-09-06,Tesla,1486.63,543.15,1027.74,1148.68,24719530,Bearish
2015-09-07,Google,1128.47,133.18,1260.7,1106.71,2888194,Bearish
2015-09-08,Apple,434.61,1036.97,1031.12,736.71,20676368,Neutral
2015-09-09,Microsoft,577.29,228.59,1242.27,718.77,42123035,Bearish
2015-09-10,Tesla,687.14,1429.87,702.11,590.85,46858734,Neutral
2015-09-11,Apple,1147.1,1310.42,1446.31,1244.06,14175439,Bearish
2015-09-12,Apple,244.32,633.96,1035.76,1404.65,11275832,Bullish
2015-09-13,Tesla,1110.95,1266.06,1291.12,691.16,15008679,Neutral
2015-09-14,Google,271.51,1434.51,727.42,399.64,35042227,Bearish
2015-09-15,Netflix,1477.13,1485.94,107.42,1309.18,5261657,Bearish
2015-09-16,Apple,969.38,538.86,253.94,244.19,11424856,Bullish
2015-09-17,Microsoft,1416.87,307.15,512.24,1170.59,31958645,Neutral
2015-09-18,Apple,1201.09,66.18,503.43,1499.45,33572324,Bearish
2015-09-19,Amazon,559.26,630.34,1082.35,263.34,19270818,Bullish
2015-09-20,Meta,1265.27,248.0,285.37,1009.86,11165779,Bullish
2015-09-21,Meta,633.69,926.62,594.06,422.91,19239433,Bearish
2015-09-22,Apple,875.91,1361.45,766.92,1301.7,13132350,Bullish
2015-09-23,Google,497.63,532.3,133.37,67.81,30577767,Neutral
2015-09-24,Amazon,1087.92,1134.67,797.03,1489.55,33790250,Neutral
2015-09-25,Microsoft,355.53,840.48,468.55,1452.55,42019504,Neutral
2015-09-26,Apple,909.42,389.59,1428.66,809.41,45484708,Bullish
2015-09-27,Apple,1471.87,71.21,107.53,718.25,36450961,Bearish
2015-09-28,Tesla,813.84,1264.33,812.2,1176.55,46075655,Neutral
2015-09-29,Meta,1311.33,987.84,1431.93,522.23,38960688,Bearish
2015-09-30,Tesla,1481.88,1319.75,1352.51,1350.07,23091351,Bearish
2015-10-01,Amazon,1067.66,146.83,79.09,688.56,28350461,Bearish
2015-10-02,Meta,1480.83,539.55,542.91,673.93,8344491,Bearish
2015-10-03,Google,1116.48,420.03,605.51,357.44,36878943,Bullish
2015-10-04,Meta,1392.16,164.8,343.0,1371.41,40896589,Bullish
2015-10-05,Netflix,329.46,371.05,630.03,1106.41,32022513,Bullish
2015-10-06,Microsoft,1332.8,653.33,456.94,71.61,7158335,Neutral
2015-10-07,Tesla,101.11,622.2,224.86,1234.31,43245231,Bearish
2015-10-08,Apple,667.21,925.21,1302.83,1309.7,33545171,Neutral
2015-10-09,Tesla,1074.41,136.19,798.31,866.34,23527436,Neutral
2015-10-10,Microsoft,589.76,762.44,625.04,777.34,41931879,Neutral
2015-10-11,Microsoft,645.86,284.23,1268.69,653.44,210049,Bearish
2015-10-12,Apple,316.99,744.1,539.99,166.72,3365309,Bullish
2015-10-13,Netflix,1177.56,287.52,1189.0,1085.64,34530744,Bullish
2015-10-14,Netflix,225.21,439.17,766.91,1301.78,44481562,Bullish
2015-10-15,Netflix,730.14,72.47,258.94,490.92,14491268,Bullish
2015-10-16,Meta,88.64,1055.81,1003.13,986.66,6997612,Bearish
2015-10-17,Amazon,1181.45,484.19,616.14,65.77,28374704,Bearish
2015-10-18,Google,159.95,114.14,466.64,1327.08,1156843,Bearish
2015-10-19,Meta,1320.41,622.61,961.74,299.45,7232867,Bearish
2015-10-20,Apple,200.46,656.59,1062.15,503.54,43353673,Bearish
2015-10-21,Amazon,1044.33,1453.38,71.74,663.14,41779802,Neutral
2015-10-22,Google,1338.01,919.8,688.36,329.43,1155722,Bearish
2015-10-23,Microsoft,231.45,163.94,1303.43,594.08,12180007,Bearish
2015-10-24,Apple,513.66,56.66,1446.27,393.67,25576201,Bearish
2015-10-25,Google,87.06,1120.01,831.96,1001.55,35513898,Bullish
2015-10-26,Amazon,749.29,716.51,867.12,1001.94,29598477,Neutral
2015-10-27,Amazon,76.67,1524.71,315.99,660.39,46254278,Neutral
2015-10-28,Tesla,1196.12,1257.8,695.09,1194.45,42904773,Neutral
2015-10-29,Netflix,249.37,430.3,1208.74,479.62,9796769,Bullish
2015-10-30,Meta,957.65,1161.52,170.17,1416.46,33644349,Neutral
2015-10-31,Amazon,341.9,974.48,589.88,569.0,30419431,Bearish
2015-11-01,Google,1469.25,997.29,1312.84,873.58,5426560,Bearish
2015-11-02,Meta,1129.41,1316.28,1201.85,691.65,41782640,Bullish
2015-11-03,Netflix,157.31,731.6,373.83,786.34,9752797,Bearish
2015-11-04,Netflix,940.54,79.02,1296.45,1396.47,12180339,Neutral
2015-11-05,Tesla,1358.74,842.86,1190.02,1248.0,13029455,Neutral
2015-11-06,Amazon,234.31,1037.28,977.15,74.08,45413442,Bearish
2015-11-07,Tesla,497.75,161.69,455.5,846.3,5816777,Bullish
2015-11-08,Apple,920.57,261.32,1385.39,701.8,33681756,Bullish
2015-11-09,Google,788.03,1413.43,992.74,772.81,25242933,Bullish
2015-11-10,Microsoft,543.07,1395.91,1178.22,1286.04,15014649,Neutral
2015-11-11,Microsoft,1410.38,307.25,564.29,90.3,45848422,Neutral
2015-11-12,Apple,414.84,1308.47,1229.8,1455.25,16711279,Bearish
2015-11-13,Tesla,702.34,1403.65,663.64,640.69,29900220,Bullish
2015-11-14,Amazon,1277.46,239.65,141.65,297.45,17610672,Bearish
2015-11-15,Google,550.09,1396.02,51.94,555.62,5102755,Neutral
2015-11-16,Apple,1042.23,1365.43,1071.56,914.16,2177967,Bullish
2015-11-17,Tesla,652.14,1142.79,1284.7,535.72,38645905,Neutral
2015-11-18,Netflix,1219.63,808.6,701.05,1371.5,2581246,Bullish
2015-11-19,Google,886.79,193.75,1097.47,896.86,29585750,Neutral
2015-11-20,Netflix,597.55,323.82,694.04,183.6,8732106,Bearish
2015-11-21,Apple,1221.52,1486.0,220.03,1302.69,8833013,Neutral
2015-11-22,Meta,405.92,822.2,105.01,1389.9,25745221,Bullish
2015-11-23,Microsoft,1408.75,754.16,1428.72,1028.89,21726219,Bearish
2015-11-24,Tesla,848.27,1515.21,72.36,523.89,12750146,Bearish
2015-11-25,Tesla,220.32,819.57,1007.21,304.76,12154476,Bearish
2015-11-26,Tesla,116.35,201.88,1273.96,910.95,11887008,Bearish
2015-11-27,Tesla,1226.69,577.48,1182.86,810.86,17134292,Bullish
2015-11-28,Amazon,1174.29,1238.51,995.11,560.82,21726067,Bullish
2015-11-29,Google,1010.77,569.32,723.36,180.4,32823532,Bearish
2015-11-30,Microsoft,1098.48,757.9,1285.48,472.58,48639646,Bearish
2015-12-01,Apple,790.05,1145.3,1055.45,58.15,35347652,Neutral
2015-12-02,Meta,135.66,1052.36,1179.31,1480.64,28375895,Bearish
2015-12-03,Microsoft,732.77,372.07,569.41,91.13,21238626,Bullish
2015-12-04,Google,1114.2,706.78,810.49,1321.18,33845074,Bearish
2015-12-05,Netflix,604.98,513.19,213.68,171.0,3348049,Neutral
2015-12-06,Microsoft,1059.01,838.56,720.13,937.61,49075794,Bullish
2015-12-07,Meta,406.97,467.18,1234.19,542.95,30753766,Neutral
2015-12-08,Meta,508.55,516.82,832.61,857.07,48317346,Bearish
2015-12-09,Meta,1088.71,1269.02,547.56,809.63,6054712,Neutral
2015-12-10,Netflix,471.13,569.5,457.52,80.1,26270724,Neutral
2015-12-11,Meta,1152.67,1034.94,141.06,86.86,9311352,Neutral
2015-12-12,Apple,1364.0,932.24,636.26,1108.39,15987371,Neutral
2015-12-13,Microsoft,685.04,1122.19,1077.07,87.94,30989726,Bullish
2015-12-14,Netflix,1031.19,1469.73,123.93,934.65,33481575,Bullish
2015-12-15,Netflix,511.37,1136.72,698.07,1119.98,48748983,Neutral
2015-12-16,Tesla,754.73,330.46,185.65,581.34,41526924,Bearish
2015-12-17,Netflix,579.68,1234.38,190.7,896.17,27086090,Neutral
2015-12-18,Netflix,820.38,1015.43,1049.07,196.19,884677,Neutral
2015-12-19,Meta,1478.04,418.55,1420.35,292.78,28044129,Bullish
2015-12-20,Microsoft,1466.05,997.1,282.59,1102.68,24199133,Neutral
2015-12-21,Tesla,664.36,457.88,989.8,698.79,25789625,Bearish
2015-12-22,Netflix,1055.64,1303.63,1003.62,1438.6,22646424,Bullish
2015-12-23,Apple,1240.54,587.05,283.88,1321.43,3243713,Bearish
2015-12-24,Meta,725.69,1544.03,692.35,1477.08,28588538,Bearish
2015-12-25,Amazon,1379.63,706.63,153.96,1395.87,126027,Bullish
2015-12-26,Amazon,530.18,1012.16,1324.21,1369.2,28238922,Neutral
2015-12-27,Apple,423.61,1098.68,1129.44,1127.69,4754649,Bullish
2015-12-28,Netflix,696.96,808.6,1237.38,366.51,34366378,Neutral
2015-12-29,Tesla,1103.62,820.12,663.43,1422.49,10439384,Neutral
2015-12-30,Meta,1376.87,1144.51,460.42,1002.18,11762010,Bullish
2015-12-31,Apple,741.78,1218.92,538.26,671.33,24437933,Bearish
2016-01-01,Meta,878.92,1191.68,436.13,1125.19,5080768,Neutral
2016-01-02,Google,594.18,333.62,254.08,1407.07,30546356,Bullish
